,course_title,course_organization,course_URL,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
17,Lecture Series for Preventing and Controlling COVID-19,Xi'an Jiaotong University,https://www.coursera.org/learn/covid-19lectureseries,,4.5,Beginner,6.5k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7b/4b6c055ef145dab00b6d66d52e9988/Wei-Xin-Tu-Pian_20200326203718.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
18,Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,https://www.coursera.org/specializations/java-object-oriented,,4.7,Intermediate,330k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/UCSD_JavaProgrammingOODDS_Getty483605575.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,Object Oriented Java Programming: Data Structures and Beyond by University of California San Diego
19,How to Write a Resume (Project-Centered Course),The State University of New York,https://www.coursera.org/learn/how-to-write-a-resume,,4.6,Mixed,200k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/97/5b3d50ca7d11e5b34f6f023e77cf15/Coursera-Cover-Page-2.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,How to Write a Resume (Project-Centered Course) by The State University of New York
20,Successful Interviewing,"University of Maryland, College Park",https://www.coursera.org/learn/successful-interviewing,,4.6,Mixed,43k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/41/dfd440b29411e5ae9d8158e68cbd96/2---Successful-Interviewing-800-x-800.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,"Successful Interviewing by University of Maryland, College Park"
21,Big Data - Capstone Project,University of California San Diego,https://www.coursera.org/learn/big-data-project,,4.4,Mixed,14k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/61/bcdd804d0911e59bd777c2a1ef6a6e/big-data-_2_.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Big Data - Capstone Project by University of California San Diego
22,Job Success: Get Hired or Promoted in 3 Steps,The State University of New York,https://www.coursera.org/learn/get-hired,,4.5,Beginner,51k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/23/7629d0609c11e68e5f85e460a53065/Job-Success-Logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Job Success: Get Hired or Promoted in 3 Steps by The State University of New York
23,Preparation for Job Interviews,Coursera Project Network,https://www.coursera.org/projects/preparation-for-job-interviews,,4.5,Beginner,4.5k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/57/7ebedbedfb4de4a072d23244af27f2/student-3.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Preparation for Job Interviews by Coursera Project Network
24,Create a Departure and Personal Statement for Interviews,Coursera Project Network,https://www.coursera.org/projects/departure-personal-statement-interviews,,4.3,Beginner,2.5k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/14/db97a0f26e11e89b1d8361a22a9e31/coursera.png?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,"Faster Together, Enhancing the Recruitment of Minorities in Clinical Trials by Vanderbilt University"
25,Assimilating into Your New Job,Coursera Project Network,https://www.coursera.org/projects/assimilating-into-your-new-job,,5,Beginner,110k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9f/139e404cdb11e5bb11bbbec9ff99cd/coursera_people_analytics_8x8.png?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,People Analytics by University of Pennsylvania
26,Graphic design: pop your Linkedin with 3D effect using Canva,Coursera Project Network,https://www.coursera.org/projects/linkedin-cover-with-canva,,4.3,Intermediate,57k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e4/39a620502a11e5998a1b75736a49c8/managingtalent.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Managing Talent by University of Michigan
